"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings"
"Oldboy","tt1321511","http://www.imdb.com/title/tt1321511/",2013,5.8,46147
"Thor: The Dark World","tt1981115","http://www.imdb.com/title/tt1981115/",2013,7.1,369032
"Diana","tt1758595","http://www.imdb.com/title/tt1758595/",2013,5.5,13456
"Lasseter's Bones","tt2465378","http://www.imdb.com/title/tt2465378/",2013,8.6,934
"Ender's Game","tt1731141","http://www.imdb.com/title/tt1731141/",2013,6.7,172858
"Chinese Zodiac","tt1424310","http://www.imdb.com/title/tt1424310/",2012,6.2,14249
"CrazySexyCool: The TLC Story","tt2137442","http://www.imdb.com/title/tt2137442/",2013,7.8,1606
"Walking with the Enemy","tt1515208","http://www.imdb.com/title/tt1515208/",2013,5.4,445
"Carrie","tt1939659","http://www.imdb.com/title/tt1939659/",2013,6,100739
"The Secret Life of Walter Mitty","tt0359950","http://www.imdb.com/title/tt0359950/",2013,7.4,217384
"About Time","tt2194499","http://www.imdb.com/title/tt2194499/",2013,7.8,177807
"Inside Llewyn Davis","tt2042568","http://www.imdb.com/title/tt2042568/",2013,7.4,83875
"Captain Phillips","tt1535109","http://www.imdb.com/title/tt1535109/",2013,7.9,301091
"Romeo & Juliet","tt1645131","http://www.imdb.com/title/tt1645131/",2013,5.7,7346
"The Congress","tt1821641","http://www.imdb.com/title/tt1821641/",2013,6.5,11168
"The Colony","tt1160996","http://www.imdb.com/title/tt1160996/",2013,5.3,32743
"Rush","tt1979320","http://www.imdb.com/title/tt1979320/",2013,8.2,276751
"Runner Runner","tt2364841","http://www.imdb.com/title/tt2364841/",2013,5.6,49289
"Riddick","tt1411250","http://www.imdb.com/title/tt1411250/",2013,6.4,116363
"Gravity","tt1454468","http://www.imdb.com/title/tt1454468/",2013,7.9,536549
"Labor Day","tt1967545","http://www.imdb.com/title/tt1967545/",2013,6.9,28844
"The Frozen Ground","tt2005374","http://www.imdb.com/title/tt2005374/",2013,6.4,41261
"The World's End","tt1213663","http://www.imdb.com/title/tt1213663/",2013,7,167413
"Kick-Ass 2","tt1650554","http://www.imdb.com/title/tt1650554/",2013,6.7,185516
"The Mortal Instruments: City of Bones","tt1538403","http://www.imdb.com/title/tt1538403/",2013,6,99053
"Elysium","tt1535108","http://www.imdb.com/title/tt1535108/",2013,6.7,309612
"Paranoia","tt1413495","http://www.imdb.com/title/tt1413495/",2013,5.7,26441
"Percy Jackson: Sea of Monsters","tt1854564","http://www.imdb.com/title/tt1854564/",2013,5.9,80275
"Zambezia","tt1488181","http://www.imdb.com/title/tt1488181/",2012,5.8,4934
"The Wolverine","tt1430132","http://www.imdb.com/title/tt1430132/",2013,6.7,296968
"Broken","tt1441940","http://www.imdb.com/title/tt1441940/",2012,7.3,9541
"RED 2","tt1821694","http://www.imdb.com/title/tt1821694/",2013,6.7,114731
"R.I.P.D.","tt0790736","http://www.imdb.com/title/tt0790736/",2013,5.6,84767
"The Conjuring","tt1457767","http://www.imdb.com/title/tt1457767/",2013,7.5,264764
"Pacific Rim","tt1663662","http://www.imdb.com/title/tt1663662/",2013,7,353577
"Grown Ups 2","tt2191701","http://www.imdb.com/title/tt2191701/",2013,5.4,99227
"Despicable Me 2","tt1690953","http://www.imdb.com/title/tt1690953/",2013,7.5,260802
"The Cloth","tt2088923","http://www.imdb.com/title/tt2088923/",2013,2.6,1618
"White House Down","tt2334879","http://www.imdb.com/title/tt2334879/",2013,6.4,150173
"The Heat","tt2404463","http://www.imdb.com/title/tt2404463/",2013,6.6,122952
"The Lone Ranger","tt1210819","http://www.imdb.com/title/tt1210819/",2013,6.5,170298
"World War Z","tt0816711","http://www.imdb.com/title/tt0816711/",2013,7,425999
"Only God Forgives","tt1602613","http://www.imdb.com/title/tt1602613/",2013,5.7,76620
"Man of Steel","tt0770828","http://www.imdb.com/title/tt0770828/",2013,7.2,489982
"The Courier","tt0995845","http://www.imdb.com/title/tt0995845/",2012,4.5,3656
"Monsters University","tt1453405","http://www.imdb.com/title/tt1453405/",2013,7.4,212143
